api.red_dot.get_129.300 ms
	rktest|app.models.game_info.GameInfo|1.100053:	3
	rktest|app.models.game_wgzz_icons.GameWgzzIcons|1.100053:	2
	rktest|app.models.vip.Vip|1.100053:	5
	rktest|app.models.daily_tasks.DailyTasks|1.100053:	2
	rktest|app.models.user_lv_manage.UserLvManage|1.100053:	4
	rktest|app.models.user.User|1.100053:	9
	rktest|app.models.user_mapping.UserMapping|0_c0bcb0f48a9d11ea8697000c290e82ac:	2
	rktest|app.models.main_task.MainTask|1.100053_10001:	2
	rktest|app.models.tasks.Tasks|1.100053:	3
	rktest|app.models.marriage_room.MarriageRoom|1.100053:	2
api.red_dot.get_125.584 ms
	rktest|app.models.user_state.UserState|1.100053:	2
	rktest|app.models.game_info.GameInfo|1.100053:	3
	rktest|app.models.game_wgzz_icons.GameWgzzIcons|1.100053:	2
	rktest|app.models.vip.Vip|1.100053:	5
	rktest|app.models.daily_tasks.DailyTasks|1.100053:	2
	rktest|app.models.user_lv_manage.UserLvManage|1.100053:	4
	rktest|app.models.user.User|1.100053:	9
	rktest|app.models.user_mapping.UserMapping|0_c0bcb0f48a9d11ea8697000c290e82ac:	2
	rktest|app.models.main_task.MainTask|1.100053_10001:	2
	rktest|app.models.tasks.Tasks|1.100053:	3
	rktest|app.models.marriage_room.MarriageRoom|1.100053:	2
api.red_dot.get_127.557 ms
	rktest|app.models.game_info.GameInfo|1.100053:	2
	rktest|app.models.user.User|1.100053:	8
	rktest|app.models.vip.Vip|1.100053:	4
	rktest|app.models.user_lv_manage.UserLvManage|1.100053:	3
	rktest|app.models.tasks.Tasks|1.100053:	2
	rktest|app.models.marriage_room.MarriageRoom|1.100053:	2
api.red_dot.get_118.658 ms
	rktest|app.models.tasks.Tasks|1.100057:	2
	rktest|app.models.user.User|1.100057:	8
	rktest|app.models.user_lv_manage.UserLvManage|1.100057:	3
	rktest|app.models.vip.Vip|1.100057:	4
	rktest|app.models.game_info.GameInfo|1.100057:	2
	rktest|app.models.marriage_room.MarriageRoom|1.100057:	2
api.guide.record_47.575 ms
	rktest|app.models.game_info.GameInfo|1.100057:	2
	rktest|app.models.vip.Vip|1.100057:	2
	rktest|app.models.guide.Guide|1.100057:	2
	rktest|app.models.user_lv_manage.UserLvManage|1.100057:	2
	rktest|app.models.main_task.MainTask|1.100057_10001:	2
	rktest|app.models.user_state.UserState|1.100057:	2
	rktest|app.models.game_wgzz_icons.GameWgzzIcons|1.100057:	2
	rktest|app.models.user_mapping.UserMapping|0_4a95d0a88ad011eab8fe000c290e82ac:	2
	rktest|app.models.tasks.Tasks|1.100057:	2
	rktest|app.models.user.User|1.100057:	2
api.red_dot.get_127.959 ms
	rktest|app.models.game_info.GameInfo|1.100053:	2
	rktest|app.models.user.User|1.100053:	8
	rktest|app.models.vip.Vip|1.100053:	4
	rktest|app.models.user_lv_manage.UserLvManage|1.100053:	3
	rktest|app.models.tasks.Tasks|1.100053:	2
	rktest|app.models.marriage_room.MarriageRoom|1.100053:	2
api.market.build_up_67.058 ms
	rktest|app.models.user_mapping.UserMapping|0_cd1ceca48a9f11ea802e000c290e82ac:	2
	rktest|app.models.activity_timelimit.ActivityTimeLimit|1.100051:	2
	rktest|app.models.item_package.ItemPackage|1.100051:	2
	rktest|app.models.main_task.MainTask|1.100051_10007:	2
	rktest|app.models.open_modules.OpenModules|1.100051:	2
	rktest|app.models.game_info.GameInfo|1.100051:	2
	rktest|app.models.act_timelimit.ActTimeLimit|1.100051_200031:	2
